SDR ID,Site,CP ID,Connector Type,Consum(kWh),Duration,Start,End,Postcode
2003041,"Queen Street Charging Hub, Dundee",51592,rapid,3.8,00:16:31,27/07/2021 12:47,27/07/2021 13:04,DD5 2HD
2003070,"Lochee Charging Hub, Aimer Square, Dundee",51548,rapid,28.66,00:33:52,27/07/2021 12:52,27/07/2021 13:26,DD2 3BH
2003123,"Princes Street Charging Hub, Dundee",APT51423,rapid,31.01,00:38:40,27/07/2021 13:02,27/07/2021 13:41,DD4 6BY
2003138,"Queen Street Charging Hub, Dundee",APT51591,rapid,6.222,00:08:33,27/07/2021 12:05,27/07/2021 12:13,DD5 2HD
2003288,"Queen Street Charging Hub, Dundee",APT51594,rapid,22,00:27:08,27/07/2021 13:10,27/07/2021 13:37,DD5 2HD
2003712,"Gellatly Street Car Park, Dundee",APT51088,ac,5.974,01:35:19,27/07/2021 12:18,27/07/2021 13:53,DD1 3DY
2003761,"Dundee Ice Arena, Dundee",50692,rapid,14.59,00:50:56,27/07/2021 13:27,27/07/2021 14:18,DD2 3QN
2003776,"Princes Street Charging Hub, Dundee",51424,rapid,10.225,00:16:36,27/07/2021 12:27,27/07/2021 12:44,DD4 6BY
2003778,"Princes Street Charging Hub, Dundee",51426,rapid,13.04,00:19:10,27/07/2021 13:28,27/07/2021 13:47,DD4 6BY
2003832,"Queen Street Charging Hub, Dundee",51599,ac,18.37,05:02:28,27/07/2021 13:36,27/07/2021 18:38,DD5 2HD
2003845,"Queen Street Charging Hub, Dundee",APT51593,rapid,5.165,00:21:10,27/07/2021 12:38,27/07/2021 12:59,DD5 2HD
2003848,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,7.81,00:16:26,27/07/2021 13:38,27/07/2021 13:55,DD2 3BH
2004236,"Olympia Multi-Storey Car Park, Dundee",50676,ac,4,01:07:42,27/07/2021 12:58,27/07/2021 14:06,DD1 3JU
2004284,"Princes Street Charging Hub, Dundee",51426,rapid,15.6,00:25:56,27/07/2021 14:04,27/07/2021 14:30,DD4 6BY
2004294,"Lochee Charging Hub, Aimer Square, Dundee",51548,rapid,8.541,00:11:46,27/07/2021 13:06,27/07/2021 13:18,DD2 3BH
2004301,"Gellatly Street Car Park, Dundee",APT51356,ac,2.97,01:18:12,27/07/2021 13:08,27/07/2021 14:27,DD1 3DY
2004312,"Princes Street Charging Hub, Dundee",51421,rapid,28.57,01:00:25,27/07/2021 14:10,27/07/2021 15:11,DD4 6BY
2004318,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,15.403,00:21:51,27/07/2021 13:11,27/07/2021 13:33,DD2 3BH
2004325,"Gellatly Street Car Park, Dundee",APT51088,ac,9.36,01:32:04,27/07/2021 14:12,27/07/2021 15:44,DD1 3DY
2004328,"Lochee Charging Hub, Aimer Square, Dundee",51550,rapid,9.84,00:13:14,27/07/2021 14:12,27/07/2021 14:25,DD2 3BH
2004334,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,11.88,00:34:04,27/07/2021 14:13,27/07/2021 14:47,DD2 3BH
2004413,"Queen Street Charging Hub, Dundee",APT51594,rapid,13.29,01:00:23,27/07/2021 14:24,27/07/2021 15:24,DD5 2HD
2004457,"Princes Street Charging Hub, Dundee",APT51425,rapid,2.87,,27/07/2021 15:32,27/07/2021 15:32,DD4 6BY
2004460,"Lochee Charging Hub, Aimer Square, Dundee",51550,rapid,4.43,00:10:42,27/07/2021 14:33,27/07/2021 14:44,DD2 3BH
2004469,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,12.42,00:18:55,27/07/2021 14:34,27/07/2021 14:53,DD2 3BH
2004470,"Lochee Charging Hub, Aimer Square, Dundee",51586,ac,6.85,01:00:37,27/07/2021 14:39,27/07/2021 15:40,DD2 3BH
2004481,"Lochee Charging Hub, Aimer Square, Dundee",APT51547,rapid,11.301,00:22:13,27/07/2021 13:36,27/07/2021 13:59,DD2 3BH
2004532,"Princes Street Charging Hub, Dundee",51426,rapid,9.76,00:36:00,27/07/2021 14:46,27/07/2021 15:22,DD4 6BY
2004547,"Princes Street Charging Hub, Dundee",APT51423,rapid,9.47,00:21:38,27/07/2021 14:48,27/07/2021 15:10,DD4 6BY
2004573,"Queen Street Charging Hub, Dundee",APT51591,rapid,3.038,00:27:54,27/07/2021 13:53,27/07/2021 14:20,DD5 2HD
2004598,Douglas Community Library,50406,ac,,00:00:46,27/07/2021 13:58,27/07/2021 13:59,DD4 8SD
2004607,Douglas Community Library,50406,ac,10.77,03:12:33,27/07/2021 14:00,27/07/2021 17:13,DD4 8SD
2004748,"Princes Street Charging Hub, Dundee",APT51422,rapid,4.399,00:39:19,27/07/2021 14:11,27/07/2021 14:50,DD4 6BY
2004851,"Princes Street Charging Hub, Dundee",51424,rapid,14.55,00:23:13,27/07/2021 15:16,27/07/2021 15:39,DD4 6BY
2004867,"Princes Street Charging Hub, Dundee",51421,rapid,4.96,00:08:29,27/07/2021 15:19,27/07/2021 15:28,DD4 6BY
2004871,Camperdown Country Park,52276,ac,33.54,23:34:28,27/07/2021 14:21,28/07/2021 13:55,DD2 4TF
2004872,Douglas Community Library,50406,ac,6.1,01:44:44,27/07/2021 14:21,27/07/2021 16:06,DD4 8SD
2004955,"Dundee Ice Arena, Dundee",50692,rapid,17.41,01:00:08,27/07/2021 15:36,27/07/2021 16:37,DD2 3QN
2004979,"Lochee Charging Hub, Aimer Square, Dundee",51548,rapid,1.8,00:12:26,27/07/2021 16:41,27/07/2021 16:54,DD2 3BH
2005006,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,7.15,00:16:01,27/07/2021 15:46,27/07/2021 16:02,DD2 3BH
2005015,"Lochee Charging Hub, Aimer Square, Dundee",51584,rapid,19.613,01:11:04,27/07/2021 14:47,27/07/2021 15:58,DD2 3BH
2005021,"Olympia Multi-Storey Car Park, Dundee",50676,ac,4.28,01:09:54,27/07/2021 15:48,27/07/2021 16:58,DD1 3JU
2005032,"Olympia Multi-Storey Car Park, Dundee",50675,ac,6.95,01:54:54,27/07/2021 15:49,27/07/2021 17:44,DD1 3JU
2005044,"Greenmarket Multi Storey Car Park, Dundee",APTCYCPIP-0039-13,ac,20.98,05:34:18,27/07/2021 15:52,27/07/2021 21:27,DD1 4BX
2005051,"Princes Street Charging Hub, Dundee",51426,rapid,20.303,00:27:02,27/07/2021 14:55,27/07/2021 15:22,DD4 6BY
2005116,"Queen Street Charging Hub, Dundee",51595,rapid,11.53,00:36:56,27/07/2021 16:06,27/07/2021 16:43,DD5 2HD
2005146,"Queen Street Charging Hub, Dundee",51592,rapid,3.87,00:36:55,27/07/2021 17:11,27/07/2021 17:48,DD5 2HD
2005157,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,4.06,00:36:15,27/07/2021 16:13,27/07/2021 16:49,DD2 3BH
2005169,"Gellatly Street Car Park, Dundee",APT51088,ac,4.46,00:44:30,27/07/2021 16:16,27/07/2021 17:00,DD1 3DY
2005183,"Princes Street Charging Hub, Dundee",APT51422,rapid,12.318,00:21:20,27/07/2021 15:18,27/07/2021 15:40,DD4 6BY
2005195,"Queen Street Charging Hub, Dundee",APT51591,rapid,16.746,00:47:46,27/07/2021 15:20,27/07/2021 16:08,DD5 2HD
2005235,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,21.891,00:46:30,27/07/2021 15:26,27/07/2021 16:13,DD2 3BH
2005265,"Lochee Charging Hub, Aimer Square, Dundee",50912,ac,11.64,17:30:30,27/07/2021 16:33,28/07/2021 10:03,DD2 3BH
2005266,"Queen Street Charging Hub, Dundee",APT51596,rapid,5.88,00:09:25,27/07/2021 16:33,27/07/2021 16:42,DD5 2HD
2005271,"Princes Street Charging Hub, Dundee",51429,rapid,2.316,04:38:53,27/07/2021 15:34,27/07/2021 20:13,DD4 6BY
2005284,"Queen Street Charging Hub, Dundee",51592,rapid,4.15,00:19:16,27/07/2021 16:37,27/07/2021 16:56,DD5 2HD
2005309,"Princes Street Charging Hub, Dundee",APT51423,rapid,19.175,00:38:06,27/07/2021 15:42,27/07/2021 16:20,DD4 6BY
2005352,"Princes Street Charging Hub, Dundee",51424,rapid,18.857,00:43:17,27/07/2021 15:48,27/07/2021 16:31,DD4 6BY
2005354,"Queen Street Charging Hub, Dundee",APT51594,rapid,27.515,00:50:33,27/07/2021 15:48,27/07/2021 16:39,DD5 2HD
2005362,"Queen Street Charging Hub, Dundee",APT51593,rapid,13.514,00:17:47,27/07/2021 15:50,27/07/2021 16:07,DD5 2HD
2005416,Michelin Scotland Innovation Park ,53982,ac,9.461,03:12:30,27/07/2021 16:01,27/07/2021 19:13,DD4 8UQ
2005426,"Princes Street Charging Hub, Dundee",51421,rapid,17.6,00:43:13,27/07/2021 17:02,27/07/2021 17:45,DD4 6BY
2005440,"Queen Street Charging Hub, Dundee",APT51597,ac,15.547,17:43:38,27/07/2021 16:04,28/07/2021 09:48,DD5 2HD
2005463,"Princes Street Charging Hub, Dundee",APT51422,rapid,25.5,00:32:32,27/07/2021 17:07,27/07/2021 17:40,DD4 6BY
2005482,"Lochee Charging Hub, Aimer Square, Dundee",APT51547,rapid,14.951,00:29:19,27/07/2021 16:11,27/07/2021 16:41,DD2 3BH
2005498,South Tay Street (Car Club / Public),52567,ac,,00:00:08,27/07/2021 16:15,27/07/2021 16:15,DD1 1PF
2005502,South Tay Street (Car Club / Public),52567,ac,15.771,02:46:41,27/07/2021 16:16,27/07/2021 19:02,DD1 1PF
2005503,"Dundee Taybridge Rail Station, South Union Street, Dundee",APT50348,ac,5.6,06:31:43,27/07/2021 17:16,27/07/2021 23:47,
2005527,"Queen Street Charging Hub, Dundee",51592,rapid,7.09,00:29:21,27/07/2021 17:20,27/07/2021 17:49,DD5 2HD
2005535,"Princes Street Charging Hub, Dundee",51426,rapid,9.32,00:20:31,27/07/2021 17:21,27/07/2021 17:41,DD4 6BY
2005549,"Princes Street Charging Hub, Dundee",APT51423,rapid,7.34,00:18:42,27/07/2021 17:23,27/07/2021 17:41,DD4 6BY
2005557,"Orleans Place, Dundee",52399,ac,32.7,23:08:08,27/07/2021 16:24,28/07/2021 15:32,
2005628,"Princes Street Charging Hub, Dundee",51424,rapid,17.41,00:39:16,27/07/2021 17:34,27/07/2021 18:13,DD4 6BY
2005655,"Dock Street, Dundee",APT50910,ac,36.57,03:10:41,27/07/2021 17:38,27/07/2021 20:49,DD1 3DP
2005711,"Gellatly Street Car Park, Dundee",APT51088,ac,2.09,00:22:32,27/07/2021 17:47,27/07/2021 18:10,DD1 3DY
2005747,Douglas Community Library,50406,ac,20.31,16:30:25,27/07/2021 16:54,28/07/2021 09:24,DD4 8SD
2005773,"Dawson Park, Broughty Ferry",52665,ac,5,00:45:23,27/07/2021 17:00,27/07/2021 17:45,DD5 1PG
2005781,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,6.49,00:23:40,27/07/2021 18:03,27/07/2021 18:26,DD2 3BH
2005792,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,1.59,00:20:28,27/07/2021 18:05,27/07/2021 18:26,DD2 3BH
2005814,"Princes Street Charging Hub, Dundee",APT51423,rapid,15.71,00:41:25,27/07/2021 18:09,27/07/2021 18:50,DD4 6BY
2005896,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,17.47,00:31:22,27/07/2021 18:26,27/07/2021 18:57,DD2 3BH
2005924,"Dundee Ice Arena, Dundee",50692,rapid,11.47,00:51:20,27/07/2021 18:32,27/07/2021 19:23,DD2 3QN
2006011,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,4.77,00:17:53,27/07/2021 18:37,27/07/2021 18:54,DD2 3BH
2006121,"Princes Street Charging Hub, Dundee",51426,rapid,12.82,00:16:58,27/07/2021 17:51,27/07/2021 18:08,DD4 6BY
2006123,"Dundee Ice Arena, Dundee",50692,rapid,7.13,00:57:35,27/07/2021 18:52,27/07/2021 19:49,DD2 3QN
2006156,"Gellatly Street Car Park, Dundee",APT51088,ac,12.69,14:38:24,27/07/2021 18:56,28/07/2021 09:34,DD1 3DY
2006234,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,7.59,00:11:35,27/07/2021 19:13,27/07/2021 19:24,DD2 3BH
2006289,"Princes Street Charging Hub, Dundee",51421,rapid,45.788,01:54:39,27/07/2021 18:23,27/07/2021 20:18,DD4 6BY
2006323,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,12.021,00:17:55,27/07/2021 18:30,27/07/2021 18:48,DD2 3BH
2006340,"Princes Street Charging Hub, Dundee",APT51422,rapid,22.92,00:35:51,27/07/2021 19:33,27/07/2021 20:09,DD4 6BY
2006354,"Queen Street Charging Hub, Dundee",APT51594,rapid,19.292,00:28:48,27/07/2021 18:36,27/07/2021 19:05,DD5 2HD
2006444,"Lochee Charging Hub, Aimer Square, Dundee",APT51547,rapid,23.15,01:08:22,27/07/2021 19:55,27/07/2021 21:03,DD2 3BH
2006470,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,10.66,00:21:54,27/07/2021 20:00,27/07/2021 20:22,DD2 3BH
2006510,"Princes Street Charging Hub, Dundee",51426,rapid,18.81,00:34:41,27/07/2021 20:09,27/07/2021 20:43,DD4 6BY
2006523,"Lochee Charging Hub, Aimer Square, Dundee",51550,rapid,11.972,00:15:57,27/07/2021 19:11,27/07/2021 19:27,DD2 3BH
2006560,"Princes Street Charging Hub, Dundee",APT51425,rapid,13.9,,27/07/2021 20:22,27/07/2021 20:22,DD4 6BY
2006611,"Lochee Charging Hub, Aimer Square, Dundee",51548,rapid,8.652,00:21:04,27/07/2021 19:35,27/07/2021 19:56,DD2 3BH
2006613,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,6.53,00:09:30,27/07/2021 20:37,27/07/2021 20:46,DD2 3BH
2006616,"Princes Street Charging Hub, Dundee",APT51423,rapid,10.598,00:32:12,27/07/2021 19:37,27/07/2021 20:10,DD4 6BY
2006671,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,1.61,00:03:00,27/07/2021 20:54,27/07/2021 20:57,DD2 3BH
2006683,"Queen Street Charging Hub, Dundee",APT51594,rapid,9.76,00:17:03,27/07/2021 20:59,27/07/2021 21:16,DD5 2HD
2006724,"Olympia Multi-Storey Car Park, Dundee",50675,ac,4.84,01:15:33,27/07/2021 21:11,27/07/2021 22:27,DD1 3JU
2006725,"Princes Street Charging Hub, Dundee",51424,rapid,25.7,00:47:55,27/07/2021 21:11,27/07/2021 21:59,DD4 6BY
2006728,"Olympia Multi-Storey Car Park, Dundee",50676,ac,4.51,01:14:56,27/07/2021 20:12,27/07/2021 21:27,DD1 3JU
2006762,"Queen Street Charging Hub, Dundee",APT51596,rapid,6.98,00:12:44,27/07/2021 21:19,27/07/2021 21:32,DD5 2HD
2006802,"Queen Street Charging Hub, Dundee",APT51596,rapid,4.11,00:08:03,27/07/2021 21:33,27/07/2021 21:41,DD5 2HD
2006810,Alexander Street - Dundee,APT51454,ac,31.68,10:06:57,27/07/2021 20:35,28/07/2021 06:42,DD1 2AE
2006827,"Princes Street Charging Hub, Dundee",APT51423,rapid,9.13,00:31:24,27/07/2021 21:40,27/07/2021 22:11,DD4 6BY
2006905,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,15.18,00:31:23,27/07/2021 22:09,27/07/2021 22:40,DD2 3BH
2006932,"Princes Street Charging Hub, Dundee",51426,rapid,36.07,00:47:31,27/07/2021 23:22,28/07/2021 00:10,DD4 6BY
2006957,"Queen Street Charging Hub, Dundee",APT51594,rapid,12.02,00:30:24,27/07/2021 22:32,27/07/2021 23:03,DD5 2HD
2006970,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,8.87,00:19:38,27/07/2021 22:39,27/07/2021 22:59,DD2 3BH
2007004,"Lochee Charging Hub, Aimer Square, Dundee",51548,rapid,3.464,,27/07/2021 21:54,27/07/2021 21:54,DD2 3BH
2007005,"Lochee Charging Hub, Aimer Square, Dundee",51550,rapid,15.197,00:23:06,27/07/2021 21:54,27/07/2021 22:17,DD2 3BH
2007006,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,16.04,00:25:39,27/07/2021 22:57,27/07/2021 23:22,DD2 3BH
2007011,"Lochee Charging Hub, Aimer Square, Dundee",APT51547,rapid,8.547,00:22:13,27/07/2021 22:00,27/07/2021 22:22,DD2 3BH
2007014,"Princes Street Charging Hub, Dundee",51424,rapid,24.884,00:49:43,27/07/2021 22:01,27/07/2021 22:51,DD4 6BY
2007045,"Queen Street Charging Hub, Dundee",APT51594,rapid,6.908,00:10:36,27/07/2021 22:15,27/07/2021 22:26,DD5 2HD
2007087,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,5.615,00:11:36,27/07/2021 22:46,27/07/2021 22:58,DD2 3BH
2007101,Craigowen Road,53318,ac,9.75,11:08:40,28/07/2021 00:01,28/07/2021 11:10,DD2 4NL
2007111,"Princes Street Charging Hub, Dundee",51426,rapid,23.89,00:37:26,28/07/2021 00:08,28/07/2021 00:45,DD4 6BY
2007120,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,3.82,00:06:40,28/07/2021 00:21,28/07/2021 00:27,DD2 3BH
2007131,"Princes Street Charging Hub, Dundee",APT51422,rapid,4.753,00:41:11,27/07/2021 23:42,28/07/2021 00:23,DD4 6BY
2007148,"Dawson Park, Broughty Ferry",52665,ac,24.93,04:19:22,28/07/2021 01:01,28/07/2021 05:21,DD5 1PG
2007195,"Princes Street Charging Hub, Dundee",APT51423,rapid,12.45,00:42:24,28/07/2021 02:08,28/07/2021 02:50,DD4 6BY
2007225,"Princes Street Charging Hub, Dundee",51426,rapid,20.75,00:35:57,28/07/2021 03:37,28/07/2021 04:13,DD4 6BY
2007227,"Princes Street Charging Hub, Dundee",51424,rapid,19.76,00:36:19,28/07/2021 03:48,28/07/2021 04:24,DD4 6BY
2007229,Michelin Scotland Innovation Park ,53982,ac,10.129,02:51:59,28/07/2021 02:53,28/07/2021 05:45,DD4 8UQ
2007234,"Dock Street, Dundee",APT50910,ac,31.839,05:39:23,28/07/2021 03:18,28/07/2021 08:57,DD1 3DP
2007239,"Princes Street Charging Hub, Dundee",APT51425,rapid,10.84,,28/07/2021 05:07,28/07/2021 05:07,DD4 6BY
2007279,"Dundee Ice Arena, Dundee",50692,rapid,14.45,01:00:11,28/07/2021 05:13,28/07/2021 06:13,DD2 3QN
2007293,"Princes Street Charging Hub, Dundee",51426,rapid,15.46,00:31:11,28/07/2021 07:05,28/07/2021 07:37,DD4 6BY
2007310,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,6.96,00:16:45,28/07/2021 07:17,28/07/2021 07:34,DD2 3BH
2007328,South Tay Street (Car Club / Public),52567,ac,35.951,07:41:48,28/07/2021 06:27,28/07/2021 14:09,DD1 1PF
2007397,"Lochee Charging Hub, Aimer Square, Dundee",APT51547,rapid,36,01:27:27,28/07/2021 08:09,28/07/2021 09:37,DD2 3BH
2007469,"Dundee Ice Arena, Dundee",50692,rapid,15.47,00:42:39,28/07/2021 08:33,28/07/2021 09:16,DD2 3QN
2007525,"Queen Street Charging Hub, Dundee",APT51594,rapid,16.29,01:05:45,28/07/2021 08:49,28/07/2021 09:55,DD5 2HD
2007570,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,4.32,00:36:04,28/07/2021 08:58,28/07/2021 09:34,DD2 3BH
2007746,"Dawson Park, Broughty Ferry",52665,ac,14.25,06:57:39,28/07/2021 08:37,28/07/2021 15:35,DD5 1PG
2007828,"Lochee Charging Hub, Aimer Square, Dundee",51548,rapid,14.241,,28/07/2021 08:54,28/07/2021 08:54,DD2 3BH
2007831,"Lochee Charging Hub, Aimer Square, Dundee",APT51547,rapid,12.085,00:25:44,28/07/2021 08:55,28/07/2021 09:21,DD2 3BH
2007853,"Princes Street Charging Hub, Dundee",APT51422,rapid,10.6,00:23:26,28/07/2021 10:00,28/07/2021 10:24,DD4 6BY
2007860,"Princes Street Charging Hub, Dundee",APT51423,rapid,4.88,00:09:59,28/07/2021 10:00,28/07/2021 10:10,DD4 6BY
2007865,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,4.123,00:08:21,28/07/2021 09:02,28/07/2021 09:11,DD2 3BH
2007892,"Queen Street Charging Hub, Dundee",APT51591,rapid,11.4,00:33:40,28/07/2021 10:08,28/07/2021 10:42,DD5 2HD
2007960,"Lochee Charging Hub, Aimer Square, Dundee",51586,ac,7.15,01:00:18,28/07/2021 10:29,28/07/2021 11:30,DD2 3BH
2007989,Michelin Scotland Innovation Park ,53982,ac,2.41,00:43:19,28/07/2021 10:32,28/07/2021 11:15,DD4 8UQ
2008008,"Princes Street Charging Hub, Dundee",51421,rapid,6.222,00:21:57,28/07/2021 09:36,28/07/2021 09:58,DD4 6BY
2008061,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,12.19,00:15:38,28/07/2021 11:46,28/07/2021 12:02,DD2 3BH
2008130,Douglas Community Library,50406,ac,8.17,02:17:37,28/07/2021 09:58,28/07/2021 12:15,DD4 8SD
2008137,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,2.65,00:29:25,28/07/2021 10:59,28/07/2021 11:28,DD2 3BH
2008236,"Queen Street Charging Hub, Dundee",APT51596,rapid,,,28/07/2021 10:25,28/07/2021 10:25,DD5 2HD
2008303,"Queen Street Charging Hub, Dundee",51592,rapid,,,28/07/2021 10:28,28/07/2021 10:28,DD5 2HD
2008328,"Queen Street Charging Hub, Dundee",51592,rapid,,,28/07/2021 10:28,28/07/2021 10:28,DD5 2HD
2008359,"Queen Street Charging Hub, Dundee",51592,rapid,,,28/07/2021 10:28,28/07/2021 10:28,DD5 2HD
2008392,"Queen Street Charging Hub, Dundee",51592,rapid,,,28/07/2021 10:28,28/07/2021 10:28,DD5 2HD
2008397,"Queen Street Charging Hub, Dundee",51592,rapid,,,28/07/2021 10:28,28/07/2021 10:28,DD5 2HD
2008450,"Queen Street Charging Hub, Dundee",51592,rapid,,,28/07/2021 10:28,28/07/2021 10:28,DD5 2HD
2008482,"Queen Street Charging Hub, Dundee",51592,rapid,,,28/07/2021 10:28,28/07/2021 10:28,DD5 2HD
